RowId;ThresholdProfileName;ExpectedFound;ExpectedRank;ExpectedScore;BestNonMatchRank;BestNonMatchScore;ScoreDrop;CandidateCount
11;Passweb_1_N_Alder_18_70;True;1;876;2;561;315;15
12;Passweb_1_N_Alder_18_70;True;1;857;2;535;322;15
13;Passweb_1_N_Alder_18_70;True;1;843;2;562;281;15
14;Passweb_1_N_Alder_18_70;True;1;731;2;593;138;15
15;Passweb_1_N_Alder_7_13;True;1;811;2;593;218;15
16;Passweb_1_N_Alder_14_15;True;1;707;2;603;104;15
17;Passweb_1_N_Alder_7_13;True;1;903;2;670;233;15
18;Passweb_1_N_Alder_7_13;True;1;863;2;502;361;15
19;Passweb_1_N_Alder_7_13;True;1;863;2;612;251;15
20;Passweb_1_N_Alder_7_13;True;1;821;2;584;237;15
21;Passweb_1_N_Alder_71_T;True;1;913;2;567;346;15
22;Passweb_1_N_Alder_18_70;True;1;811;2;540;271;15
23;Passweb_1_N_Alder_18_70;True;1;811;2;536;275;15
24;Passweb_1_N_Alder_7_13;True;1;888;2;601;287;15
25;Passweb_1_N_Alder_7_13;True;1;860;2;556;304;15
26;Passweb_1_N_Alder_7_13;True;1;834;2;583;251;15
27;Passweb_1_N_Alder_18_70;True;1;829;2;547;282;15
28;Passweb_1_N_Alder_18_70;True;1;897;2;451;446;15
29;Passweb_1_N_Alder_18_70;True;1;839;2;534;305;15
30;Passweb_1_N_Alder_18_70;True;1;809;2;490;319;15
31;Passweb_1_N_Alder_2_6;True;1;802;2;613;189;15
32;Passweb_1_N_Alder_18_70;True;1;823;2;498;325;15
33;Passweb_1_N_Alder_2_6;True;1;755;2;625;130;15
34;Passweb_1_N_Alder_7_13;True;1;824;2;688;136;15
35;Passweb_1_N_Alder_18_70;True;1;885;2;525;360;15
36;Passweb_1_N_Alder_2_6;True;1;822;2;625;197;15
37;Passweb_1_N_Alder_18_70;True;1;776;2;522;254;15
38;Passweb_1_N_Alder_7_13;True;1;872;2;585;287;15
39;Passweb_1_N_Alder_2_6;True;1;762;2;656;106;15
40;Passweb_1_N_Alder_18_70;True;1;885;2;514;371;15
41;Passweb_1_N_Alder_2_6;True;1;785;2;580;205;15
42;Passweb_1_N_Alder_18_70;True;1;862;2;485;377;15
43;Passweb_1_N_Alder_71_T;True;1;712;2;585;127;15
44;Passweb_1_N_Alder_18_70;True;1;882;2;486;396;15
45;Passweb_1_N_Alder_2_6;True;1;875;2;588;287;15
46;Passweb_1_N_Alder_2_6;True;1;903;2;624;279;15
